ID_CLIENTE,FECHA_ALTA,EDAD,GENERO,ESTADO_CIVIL,NIVEL_EDUCATIVO,NUM_DEPENDIENTES,TIPO_EMPLEO,INGRESO_MENSUAL,ANTIGUEDAD_LABORAL,TIPO_CREDITO,MONTO_CREDITO,PLAZO_MESES,TASA_INTERES,NUM_CREDITOS_PREVIOS,DIAS_MORA_MAX,RATIO_UTILIZACION,TIPO_VIVIENDA,RATIO_LTV,DEFAULT
CLI000001,2025-07-04,47,F,Divorciado,Secundaria,1,Dependiente,1548.0,17.2,Empresarial,4385.0,12,26.61,3,90.0,0.3491,Arrendada,,0
CLI000002,2025-02-20,40,F,Soltero,Secundaria,1,Dependiente,1149.0,2.1,Consumo,13878.0,48,14.91,4,0.0,0.1523,Propia,,0
CLI000003,2026-01-21,49,M,Casado,Postgrado,2,Dependiente,6885.0,1.5,Consumo,2896.0,36,11.4,1,60.0,0.1873,Propia,,0
CLI000004,2025-07-22,58,M,Casado,Secundaria,2,Dependiente,1986.0,4.1,Consumo,110545.0,24,19.25,3,30.0,0.1049,Propia,,0
CLI000005,2025-01-28,39,F,Divorciado,Secundaria,0,Dependiente,1975.0,1.6,Empresarial,17667.0,60,15.78,2,,0.4178,Propia,,0
CLI000006,2025-07-31,39,M,Viudo,Técnico,1,Independiente,1681.0,16.5,Hipotecario,6300.0,120,26.39,1,120.0,0.0565,Familiar,0.741,1
CLI000007,2025-11-22,59,F,Casado,Secundaria,2,Independiente,1246.0,6.9,Hipotecario,7658.0,48,22.27,3,0.0,0.5526,Arrendada,0.555,0
CLI000008,2025-11-21,50,F,Casado,Secundaria,1,Sin empleo,1650.0,2.7,Consumo,1311.0,12,16.23,3,0.0,0.4266,Hipotecada,,1
CLI000009,2025-07-29,36,M,Divorciado,Secundaria,1,Dependiente,1445.0,0.5,Empresarial,10490.0,12,12.66,2,60.0,0.0926,Propia,,1
CLI000010,2025-05-09,47,M,Divorciado,Técnico,0,Empresario,1977.0,5.2,Consumo,7098.0,84,27.88,3,0.0,0.5605,Propia,,0
CLI000011,2025-12-02,36,M,Divorciado,Secundaria,0,Dependiente,1629.0,0.5,Consumo,64766.0,36,26.76,1,0.0,,Propia,,0
CLI000012,2025-09-10,36,F,Soltero,Secundaria,2,Dependiente,1070.0,1.2,Empresarial,9024.0,60,10.53,4,30.0,0.3657,Familiar,,0
CLI000013,2026-02-05,44,M,Casado,Universitario,2,Dependiente,4254.0,8.7,Vehicular,31067.0,60,20.65,0,30.0,0.2091,Arrendada,,0
CLI000014,2025-03-14,20,M,Casado,Técnico,1,Dependiente,2086.0,10.6,Hipotecario,8542.0,36,11.08,2,90.0,,Arrendada,0.595,0
CLI000015,2025-06-22,23,M,Soltero,Universitario,2,Dependiente,2586.0,9.7,Hipotecario,30199.0,120,28.38,4,0.0,0.1113,Arrendada,0.776,0
CLI000016,2025-12-24,35,M,Casado,Técnico,2,Empresario,1205.0,0.6,Consumo,34996.0,24,14.17,3,0.0,0.3911,Propia,,0
CLI000017,2025-07-22,30,M,Soltero,Universitario,1,Jubilado,8145.0,5.3,Vehicular,21370.0,24,20.54,5,90.0,0.256,Arrendada,,0
CLI000018,2025-04-11,45,M,Casado,Universitario,1,Dependiente,2142.0,2.1,Consumo,50598.0,36,19.27,4,0.0,0.355,Arrendada,,0
CLI000019,2025-12-20,32,F,Divorciado,Universitario,1,Independiente,3608.0,,Consumo,38421.0,60,10.99,2,30.0,0.5555,Arrendada,,1
CLI000020,2026-02-20,26,M,Casado,Técnico,0,Independiente,2128.0,1.1,Hipotecario,13448.0,60,17.57,2,30.0,0.3663,Familiar,0.934,0
CLI000021,2025-12-27,58,M,Casado,Universitario,0,Dependiente,,1.2,Vehicular,3113.0,48,25.9,5,0.0,0.3226,Familiar,,0
CLI000022,2025-12-29,39,F,Casado,Universitario,2,Independiente,4981.0,27.3,Consumo,18386.0,24,12.96,1,60.0,0.426,Arrendada,,0
CLI000023,2025-06-18,42,F,Casado,Universitario,4,Dependiente,3010.0,10.7,Consumo,175591.0,36,33.03,3,180.0,0.1144,Arrendada,,1
CLI000024,2025-08-11,26,F,Casado,Universitario,2,Dependiente,3108.0,0.3,Empresarial,116984.0,24,17.9,2,60.0,0.7022,Propia,,0
CLI000025,2026-01-12,36,M,Casado,Técnico,0,Empresario,2076.0,18.6,Consumo,16956.0,36,25.73,7,0.0,0.3372,Arrendada,,0
CLI000026,2025-02-24,43,M,Divorciado,Secundaria,2,Independiente,615.0,5.0,Empresarial,8650.0,36,5.0,2,90.0,0.257,Propia,,1
CLI000027,2025-09-16,29,F,Soltero,Universitario,2,Jubilado,2355.0,0.1,Hipotecario,132911.0,60,24.37,4,30.0,0.5326,Hipotecada,0.581,0
CLI000028,2025-09-10,46,F,Casado,Secundaria,0,Independiente,1972.0,8.0,Consumo,10427.0,12,17.23,3,0.0,0.301,Propia,,0
CLI000029,2025-12-21,35,F,Soltero,Universitario,1,Independiente,2832.0,0.2,Hipotecario,12221.0,24,26.88,1,0.0,0.1114,Propia,0.715,0
CLI000030,2025-08-25,38,F,Casado,Postgrado,0,Independiente,2754.0,15.8,Hipotecario,47659.0,60,14.77,1,30.0,0.7545,Propia,0.787,0
CLI000031,2026-03-18,35,M,Viudo,Secundaria,1,Dependiente,642.0,11.1,Vehicular,42783.0,24,26.43,0,,0.021,Propia,,0
CLI000032,2025-09-04,62,F,Soltero,Universitario,0,Dependiente,2491.0,16.8,Empresarial,8814.0,36,26.54,4,0.0,,Arrendada,,0
CLI000033,2025-10-01,41,F,Casado,Postgrado,0,Dependiente,4827.0,1.9,Vehicular,11707.0,24,13.36,6,0.0,,Hipotecada,,0
CLI000034,2025-05-24,30,M,Divorciado,Técnico,4,Empresario,1647.0,0.1,Hipotecario,8639.0,60,20.88,1,0.0,0.4324,Propia,0.59,0
CLI000035,2025-06-21,51,M,Casado,Universitario,2,Dependiente,6083.0,3.6,Consumo,16126.0,48,18.94,3,60.0,0.306,Arrendada,,0
CLI000036,2025-09-17,28,F,Casado,Técnico,3,Independiente,2234.0,1.1,Empresarial,6034.0,24,13.8,2,0.0,0.3684,Propia,,0
CLI000037,2025-10-27,44,M,Soltero,Técnico,0,Dependiente,3199.0,0.5,Empresarial,19538.0,84,13.79,1,0.0,0.1364,Propia,,0
CLI000038,2026-03-06,20,M,Soltero,Universitario,0,Jubilado,3965.0,11.2,Consumo,9241.0,36,10.86,2,0.0,0.4351,Familiar,,0
CLI000039,2025-07-28,27,F,Casado,Universitario,3,Empresario,4152.0,5.1,Hipotecario,22512.0,36,23.63,2,30.0,0.5557,Arrendada,0.527,0
CLI000040,2025-01-07,44,F,Divorciado,Postgrado,0,Jubilado,5291.0,1.6,Consumo,38430.0,12,29.3,3,90.0,0.0583,Propia,,0
CLI000041,2025-06-25,50,F,Casado,Técnico,3,Dependiente,3165.0,2.0,Vehicular,25530.0,48,16.82,1,0.0,0.2417,Arrendada,,1
CLI000042,2025-06-12,43,M,Divorciado,Universitario,2,Dependiente,2289.0,1.3,Consumo,8603.0,24,12.18,8,0.0,0.1022,Arrendada,,0
CLI000043,2025-07-23,40,M,Casado,Universitario,0,Dependiente,3266.0,,Consumo,5613.0,36,24.39,3,120.0,0.2706,Familiar,,1
CLI000044,2026-01-30,38,F,Divorciado,Secundaria,0,Dependiente,706.0,5.2,Vehicular,28953.0,48,16.21,1,180.0,0.29,Arrendada,,1
CLI000045,2025-05-19,25,M,Viudo,Técnico,1,Dependiente,2502.0,19.9,Hipotecario,19165.0,36,16.98,6,0.0,0.3345,Familiar,0.671,0
CLI000046,2025-11-15,34,M,Soltero,Universitario,3,Dependiente,,0.2,Hipotecario,19559.0,60,12.05,1,90.0,0.3436,Arrendada,0.859,1
