id_credito,anio_originacion,plazo_meses,edad,ingreso_mensual,score_buro,deuda_ingreso,num_productos,pd_modelo,default_obs
1,2023,12,42,4575.0,461,0.5187,2,0.002373,0
2,2022,24,36,4835.0,535,0.4869,3,0.010357,0
3,2023,24,44,5075.0,573,0.6805,1,0.056869,0
4,2021,36,53,7891.0,631,0.5959,2,0.088659,0
5,2021,60,35,3383.0,701,0.6835,1,0.567717,0
6,2023,24,35,3219.0,675,0.1159,2,0.131546,0
7,2021,48,53,9121.0,525,0.3276,2,0.011287,0
8,2021,24,45,3900.0,590,0.2229,3,0.020792,0
9,2023,24,33,2614.0,626,0.1504,1,0.126327,0
10,2023,12,43,3856.0,599,0.135,3,0.01255,0
11,2022,12,33,4167.0,598,0.3116,1,0.055276,0
12,2021,24,33,10694.0,482,0.244,1,0.004462,0
13,2022,36,40,7804.0,527,0.3233,2,0.008523,0
14,2021,24,22,8723.0,587,0.3704,1,0.037768,0
15,2021,48,22,7406.0,372,0.1439,2,0.001,0
16,2023,60,32,7888.0,671,0.1229,3,0.0425,0
17,2022,48,27,3484.0,510,0.3879,3,0.011096,0
18,2023,24,41,4450.0,674,0.2654,3,0.082688,0
19,2021,36,28,2996.0,667,0.4921,4,0.140506,0
20,2021,12,23,4424.0,576,0.1396,2,0.015236,0
21,2021,48,52,6919.0,700,0.3832,3,0.169103,0
22,2022,36,35,5257.0,679,0.2834,3,0.135438,0
23,2023,36,38,9469.0,595,0.2135,2,0.018889,0
24,2022,36,23,2777.0,586,0.2129,4,0.011807,0
25,2023,36,32,6311.0,707,0.4108,2,0.230003,0
26,2022,24,39,2633.0,638,0.1621,1,0.075091,0
27,2023,24,26,5152.0,703,0.5953,1,0.583843,1
28,2023,24,41,7116.0,428,0.1923,1,0.001,0
29,2021,48,31,4415.0,627,0.3921,3,0.10399,0
30,2021,36,35,6474.0,493,0.4977,2,0.00532,0
31,2023,36,31,3042.0,617,0.2719,4,0.041671,0
32,2023,36,56,2139.0,677,0.1281,3,0.078441,0
33,2021,24,37,6493.0,759,0.0799,2,0.263359,1
34,2022,24,27,11755.0,544,0.1499,1,0.008202,0
35,2022,48,46,2987.0,577,0.2761,4,0.00681,0
36,2022,48,25,9055.0,612,0.152,2,0.024424,0
37,2022,12,40,5023.0,542,0.6481,4,0.009624,0
38,2022,36,22,2520.0,698,0.165,1,0.277248,1
39,2022,12,24,2791.0,614,0.6534,3,0.118639,0
40,2023,24,39,4954.0,629,0.2634,1,0.055543,0
41,2022,24,45,4015.0,669,0.5447,2,0.420975,0
42,2022,48,39,2549.0,614,0.1542,4,0.026147,0
43,2021,36,36,2107.0,554,0.2054,2,0.020321,0
